id,nombre,descripcion,unidad_medida,precio_por_unidad
1,Children's Educational Workbook,Activity workbook for early learning and fun.,pulgadas,12.99
2,Wild Rice & Quinoa Mix,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",litros,2.99
3,Eco-Friendly Notepad,Notepad made from recycled paper for sustainable note-taking.,cm,8.99
4,Instant Camera,Retro instant camera for capturing and printing photos instantly.,m2,89.99
5,Miso Dressing,Flavorful dressing made with miso paste,pulgadas,3.49
6,Body Wash,Moisturizing body wash with natural ingredients.,pulgadas,12.99
7,Silicone Baking Molds,Set of flexible molds for baking cakes and pastries.,litros,15.99
8,Carrot and Celery Sticks,Fresh pre-cut carrot and celery sticks for easy snacking.,pulgadas,2.99
9,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,cm,5.99
10,Face Mask Set,Set of five reusable fabric face masks.,m2,19.99
11,Silicone Ice Cube Tray,Flexible tray for easy-release ice cubes.,m2,10.99
12,Organic Blueberries,Fresh organic blueberries perfect for snacking or baking.,km,5.49
13,Multifunctional Pocket Tool,Compact pocket tool with various built-in functions.,litro,19.99
14,Apple Juice,"Refreshing apple juice, 100% juice with no added sugar.",litros,3.29
15,Personal Blender with Cups,Compact blender that comes with travel cups for smoothies.,cm3,34.99
16,Spinach Feta Wraps,"Whole wheat wraps filled with spinach, feta, and herbs.",cm3,4.29
17,High-Top Leather Boots,Durable high-top leather boots for the stylish adventurer.,pulgadas,99.99
18,Cranberry Almond Cookies,Delicious cookies with cranberries and almonds in every bite.,m2,4.29
19,Fettuccine Alfredo Dinner Kit,Easy meal kit for creamy fettuccine Alfredo.,litros,5.49
20,Gaming Headset,Comfortable gaming headset with surround sound.,cm3,69.99
21,Computer Monitor Stand,Ergonomic monitor stand for improved workspace organization.,m2,29.99
22,Balsamic Glaze,Sweet and tangy balsamic reduction for drizzling.,pulgadas,4.79
23,Zucchini Noodles,"Spiralized zucchini, a healthy alternative to pasta.",litro,3.99
24,Granola Bars,"Crispy and chewy granola bars, perfect for on-the-go.",litro,4.99
25,Marinara Parmesan Baked Ziti,Ziti pasta baked with marinara and parmesan cheese,litros,8.49
26,First Aid Kit,Comprehensive first aid kit for emergency situations.,litros,29.99
27,Car Sunshade,Windshield sunshade for car interior protection.,cm,19.99
28,Sweet Potatoes (organic),"Fresh organic sweet potatoes, great for roasting or mashing.",cm,1.99
29,Honey-Balsamic Vinaigrette,A sweet and tangy vinaigrette dressing for salads.,m2,3.39
30,Throw Pillow Covers,Set of decorative pillow covers to enhance your home decor.,litros,22.99
31,Potting Soil,Premium potting soil for indoor plants.,cm3,15.99
32,Spicy BBQ Sauce,A tangy and spicy BBQ sauce that's perfect for grilling.,litros,3.99
33,Maple Bacon Popcorn,Savory popcorn flavored with maple syrup and bacon bits.,cm,3.49
34,Sooji (Semolina),"Fine semolina flour, perfect for pasta and desserts.",km,1.99
35,Cabbage,"Fresh green cabbage, great for salads and slaws.",litro,1.29
36,Slingback Sandals,Chic slingback sandals for a relaxed summer vibe.,m2,29.99
37,Pasta (Linguine),"Thin, flat pasta perfect for various sauces.",litro,1.89
38,Puffer Winter Coat,A warm and stylish puffer coat perfect for winter weather.,cm3,99.99
39,Pasta Maker Machine,Manual pasta maker for creating fresh pasta at home.,cm,59.99
40,Roasted Garlic Mashed Potatoes,Creamy mashed potatoes infused with roasted garlic flavor.,m2,3.99
41,Chili Beans (canned),"Canned beans with chili sauce, perfect for chili dishes.",cm,1.69
42,Wildflower Honey,Natural honey sourced from wildflowers.,litro,4.99
43,Floral Summer Dress,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,pulgadas,39.99
44,Smart Home Security Camera,Wi-Fi camera with motion detection for home security.,cm,79.99
45,Wireless Range Extender,Boost your Wi-Fi signal for better coverage.,km,49.99
46,Chickpeas,"Canned chickpeas, perfect for hummus or salads.",pulgadas,1.29
47,Sourdough Bread,Artisan-made sourdough bread with a tangy flavor.,pulgadas,4.99
48,Veggie Chips Variety Pack,A colorful variety of crunchy veggie chips for snacking.,pulgadas,3.79
49,Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,litro,3.29
50,Smartphone Photography Ring Light,Portable ring light that enhances your photos with perfect lighting.,km,29.99
51,Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,km,4.49
52,Almond Joy Snack Bars,Chewy snack bars with coconut and almonds coated in chocolate.,litro,2.99
53,Portable Phone Mug Holder,Convenient holder for drinks and phones while driving.,cm3,14.99
54,Vegan Caesar Dressing,"Creamy vegan dressing made with cashews, perfect for salads.",m2,3.99
55,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,cm3,5.99
56,Electric Kettle,Rapid boil electric kettle with temperature control.,km,39.99
57,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",km,2.49
58,Interchangeable Watch Bands,Set of stylish watch bands to customize your look.,pulgadas,24.99
59,Tailored Blazer,Sharp tailored blazer perfect for office wear and professional events.,pulgadas,99.99
60,Digital Wireless Meat Thermometer,Bluetooth thermometer that alerts you when your meat is done.,km,39.99
61,BBQ Jackfruit,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative.",cm,4.29
62,Puzzle Mat,Foldable mat for jigsaw puzzle assembly.,cm3,22.99
63,Almond Flour Tortillas,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",cm,4.99
64,Vegetable Stock,Rich vegetable stock for cooking soups and stews.,litro,2.49
65,Smartphone Tripod,Adjustable tripod for smartphones and cameras.,cm3,29.99
66,Plant Growing Kit,Complete kit for growing herbs indoors.,litros,22.99
67,Garlic Herb Grilled Chicken,Marinated grilled chicken breasts seasoned with garlic and herbs.,litro,8.99
68,DIY Lip Balm Making Kit,Complete kit to make your own flavored lip balms at home.,cm3,22.99
69,Cork Yoga Mat,Eco-friendly yoga mat made from sustainable materials.,pulgadas,39.99
70,Self-Watering Planters,Planters with a self-watering feature for easy care.,m2,49.99
71,Nordic Berry Smoothie,Frozen smoothie blend with berries for a quick and healthy breakfast.,litros,3.99
72,Almond Flour Cookies,Delicious cookies made with almond flour for a gluten-free treat.,cm,4.99
73,Mediterranean Chickpea Salad,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing.",m2,5.99
74,Casual Long Cardigan,A cozy long cardigan designed for layering in any season.,m2,45.99
75,Greek Yogurt Parfait,"Layered Greek yogurt with granola and mixed berries, ready to enjoy.",pulgadas,4.49
76,Personal Safety Alarm,Compact alarm for personal safety and security.,litros,12.99
77,Almond Joy Bars,Chocolate-covered candy bars with coconut and almonds.,litros,1.29
78,Wine Decanter,Elegant glass decanter for aerating wine.,pulgadas,34.99
79,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,litros,6.49
80,Electric Fondue Pot,Set for making fondue at home.,litros,39.99
81,Pet Hair Removal Roller,Lint roller designed specifically for removing pet hair from furniture.,litro,10.99
82,Acoustic Guitar,Beginner-friendly acoustic guitar with natural finish.,pulgadas,199.99
83,Sweet Chili Dipping Sauce,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,pulgadas,2.99
84,Cinnamon Raisin Bread,"Sweet bread with cinnamon and raisins, great for breakfast or snacks.",litro,3.79
85,Vegan Protein Powder,Plant-based protein powder for post-workout recovery.,litro,34.99
86,Set of Silicone Baking Molds,Flexible molds perfect for baking cakes and pastries.,km,15.99
87,Pressure Cooker,Instant pressure cooker with multiple cooking settings.,litros,89
88,Sun-Dried Tomatoes,Dried tomatoes packed with deep flavor for salads and pasta.,litro,3.99
89,Whole Grain Hamburger Buns,Soft hamburger buns made with whole grains.,km,2.69
90,Sliced Avocado,"Ready-to-eat avocado slices, perfect for tacos.",litros,2.79
91,Gardening Gloves,Durable gardening gloves with reinforced fingertips.,m2,15.99
92,Comfy Slippers,Soft and cozy slippers for indoor wear.,litros,29.99
93,Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",pulgadas,3.79
94,Sriracha Hot Chili Sauce,Spicy and tangy chili sauce for adding heat to any dish.,cm3,2.99
95,Kitchen Scale,Digital scale for precise cooking measurements.,litros,19.99
96,Electric Kettle with Temperature Control,Electric kettle that offers precise temperature settings.,cm3,49.99
97,Pet Tracking Collar,GPS pet collar that helps locate your pet via smartphone app.,m2,59.99
98,Pet Travel Bed,Portable bed for pets while traveling.,cm3,26.99
99,Workstation Laptop Stand,Adjustable stand to improve ergonomics while working on a laptop.,litros,49.99
100,Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",km,6.49
101,Camping Lantern,Rechargeable LED camping lantern for outdoor use.,pulgadas,34.99
102,Kids Tablet,Durable tablet designed for kids with parental controls.,cm3,129.99
103,Pepperoni Pizza Rolls,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",litros,6.99
104,Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,m2,22.99
105,Cotton Pajama Set,Soft cotton pajama set for cozy nights in.,litro,49.99
106,Insulated Lunch Box,Durable lunch box designed to keep food fresh and cool.,cm3,24.99
107,Over-the-Door Hooks,Convenient hooks that utilize door space for hanging items.,litro,12.99
108,Portable Folding Picnic Table,Easy-to-set-up picnic table for outdoor dining.,cm,69.99
109,Pine Nuts,Nutty flavor perfect for pesto and salads.,pulgadas,7.99
110,Garden Kneeler and Seat,Convertible kneeler and seat for gardening comfort.,cm,39.99
111,Action Camera,Compact action camera for capturing adventures.,litros,199.99
112,Dried Mango Slices,"Sweet and chewy dried mango slices, perfect for snacking.",litro,3.49
113,BBQ Lentil Chips,Savory lentil chips with BBQ flavor,litros,3.49
114,Interactive Plush Toy,"Soft, cuddly toy that interacts with children.",cm3,34.99
115,Sturdy Bookends,Stylish bookends to keep books organized on shelves.,cm3,22.99
116,Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,m2,34.99
117,Camping Chair with Cooler,Foldable chair equipped with a cooler pouch.,cm3,49.99
118,Sriracha Hot Chili Sauce,Spicy and tangy chili sauce for adding heat to any dish.,m2,2.99
119,Watering Can with Nozzle,Stylish watering can for plants with easy pouring nozzle.,litros,19.99
120,Smart LED Desk Lamp,Adjustable lamp with multiple brightness levels and colors.,cm,39.99
121,Watercolor Set,Complete watercolor set with paints and brushes.,m2,19.99
122,Teriyaki Tofu Stir-Fry,Tofu stir-fried with fresh vegetables in teriyaki sauce.,pulgadas,7.49
123,LED Strip Lights with Remote Control,Color-changing LED lights for home decoration with remote.,cm,29.99
124,Organic Coconut Water,Refreshing coconut water packed with electrolytes for hydration.,cm3,2.79
125,Chicken Broth,"Rich and flavorful chicken broth, great for soups.",cm3,2.49
126,Travel Eye Mask with Ear Plugs,Comfortable eye mask that includes noise-canceling ear plugs.,cm3,15.99
127,Video Camera,1080p HD video camera with night vision.,litro,199
128,Frozen Vegetarian Pizza,A delicious pizza loaded with vegetables,cm,6.49
129,Foam Muscle Roller,Relieve muscle tension and soreness with this foam roller.,litros,24.99
130,Apple Pie Filling,"Sweet and spiced apple filling, perfect for pies.",km,3.49
131,Sweetened Condensed Milk,Rich and creamy milk perfect for baking or desserts.,m2,1.89
132,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,pulgadas,149.99
133,Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",m2,29.99
134,Electric Blanket,Extra soft electric blanket with adjustable heat settings.,cm,59.99
135,Digital Photo Frame,Wi-Fi-enabled digital frame for displaying photos.,pulgadas,79.99
136,Cinnamon Spiced Almonds,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,m2,5.99
137,Artisan Pickles,Tangy and crunchy dill pickles.,litro,2.49
138,Organic Coconut Oil,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",cm3,8.99
139,Electric Heat Press Machine,Ideal for creating custom designs on t-shirts and fabrics.,cm3,99.99
140,Decorative Throw Pillows,Set of stylish throw pillows for home decor.,litro,29.99
141,Honey Nut Cheerios,Classic cereal made with whole grains and honey.,litros,4.29
142,Homestyle Chicken Noodle Soup,Classic chicken noodle soup with tender chicken and vegetables.,pulgadas,2.99
143,Peach Fruit Cups,"Juicy peach slices in light syrup, in convenient cups.",cm3,1.99
144,Magnetic Phone Car Mount,Strong magnetic holder for smartphones in cars.,cm3,14.99
145,Emergency Preparedness Kit,Complete kit for emergency situations including food and water.,litros,99.99
146,Herbal Tea Variety Pack,"Assorted herbal teas, perfect for a warm and relaxing drink.",cm,4.99
147,Sliced Olives,"Pitted black olives, perfect for salads and pizzas.",cm,1.99
148,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",cm3,5.49
149,Crispy Onion Rings,"Frozen onion rings, crispy and ready to bake.",km,4.29
150,Screen Cleaning Kit,Safe cleaning solution and tools for electronics screens.,litros,15.99
151,Shower Curtain Hooks,Stylish hooks to easily hang shower curtains.,litro,12.99
152,Scented Candles,Set of three aromatic candles with various scents.,km,19.99
153,Safety Goggles,Protective goggles for DIY and construction work.,km,14.99
154,A-Line Skirt,"Classic A-line skirt that flatters every figure, perfect for work or play.",cm,35.99
155,Smart Home Hub,Connect and control smart devices from one app.,litro,99.99
156,Instant Camera,Retro instant camera for capturing and printing photos instantly.,m2,89.99
157,Personal Safety Alarm,Compact alarm for personal safety and security.,m2,12.99
158,Organic Coconut Flour,Finely ground flour from dried coconut meat.,pulgadas,5.49
159,Kids' Art Easel,Double-sided art easel for painting and drawing.,litro,58.99
160,Kids' Crafting Station,Complete station with supplies for kids' art projects.,cm,49.99
161,Pizza Stone,Ceramic pizza stone for homemade pizzas.,cm,29.99
162,Portable Water Filter,Lightweight water filter for outdoor adventures.,litro,29.99
163,Elegant Lace Dress,A stunning lace dress perfect for special occasions.,cm3,79.99
164,Creamy Garlic Dressing,"Rich and creamy dressing with garlic flavor, perfect for salads.",m2,3.99
165,Puzzle,Challenging 1000-piece jigsaw puzzle for all ages.,m2,27.99
166,Smart Air Purifier,Filters allergens and pollutants from the air for a healthier home.,litros,199.99
